"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","275,577,890","±36,204"
"    No income","34,407,490","±125,446"
"    With income:","241,170,400","±143,010"
"        $1 to $9,999 or loss","31,797,047","±98,322"
"        $10,000 to $14,999","18,969,507","±75,216"
"        $15,000 to $24,999","29,241,482","±109,760"
"        $25,000 to $34,999","26,976,058","±98,458"
"        $35,000 to $49,999","35,047,558","±105,449"
"        $50,000 to $64,999","27,733,601","±112,469"
"        $65,000 to $74,999","13,053,715","±70,075"
"        $75,000 or more","58,351,432","±156,673"
"    Same house 1 year ago:","241,892,269","±190,714"
"        No income","29,804,708","±100,272"
"        With income:","212,087,561","±220,895"
"            $1 to $9,999 or loss","26,801,733","±101,683"
"            $10,000 to $14,999","16,611,856","±75,414"
"            $15,000 to $24,999","25,625,425","±105,586"
"            $25,000 to $34,999","23,622,817","±89,199"
"            $35,000 to $49,999","30,748,150","±92,903"
"            $50,000 to $64,999","24,498,040","±109,265"
"            $65,000 to $74,999","11,624,576","±65,797"
"            $75,000 or more","52,554,964","±158,184"
"    Moved within same county:","16,395,932","±116,140"
"        No income","1,925,859","±34,719"
"        With income:","14,470,073","±101,491"
"            $1 to $9,999 or loss","2,111,622","±29,171"
"            $10,000 to $14,999","1,203,859","±22,808"
"            $15,000 to $24,999","1,874,403","±27,751"
"            $25,000 to $34,999","1,790,817","±31,215"
"            $35,000 to $49,999","2,313,964","±32,182"
"            $50,000 to $64,999","1,647,212","±25,003"
"            $65,000 to $74,999","733,649","±17,966"
"            $75,000 or more","2,794,547","±34,004"
"    Moved from different county within same state:","8,734,038","±71,773"
"        No income","1,298,574","±21,931"
"        With income:","7,435,464","±62,988"
"            $1 to $9,999 or loss","1,485,497","±20,608"
"            $10,000 to $14,999","612,326","±15,661"
"            $15,000 to $24,999","879,905","±17,162"
"            $25,000 to $34,999","799,979","±16,448"
"            $35,000 to $49,999","1,070,926","±20,692"
"            $50,000 to $64,999","845,247","±21,932"
"            $65,000 to $74,999","351,793","±11,799"
"            $75,000 or more","1,389,791","±25,684"
"    Moved from different state:","6,535,818","±60,654"
"        No income","731,878","±19,058"
"        With income:","5,803,940","±53,818"
"            $1 to $9,999 or loss","1,011,374","±17,124"
"            $10,000 to $14,999","410,997","±13,185"
"            $15,000 to $24,999","674,324","±15,438"
"            $25,000 to $34,999","619,951","±16,057"
"            $35,000 to $49,999","768,078","±21,183"
"            $50,000 to $64,999","631,282","±15,319"
"            $65,000 to $74,999","296,297","±12,771"
"            $75,000 or more","1,391,637","±23,150"
"    Moved from abroad:","2,019,833","±32,000"
"        No income","646,471","±17,032"
"        With income:","1,373,362","±26,507"
"            $1 to $9,999 or loss","386,821","±15,015"
"            $10,000 to $14,999","130,469","±7,945"
"            $15,000 to $24,999","187,425","±10,311"
"            $25,000 to $34,999","142,494","±7,410"
"            $35,000 to $49,999","146,440","±7,650"
"            $50,000 to $64,999","111,820","±7,477"
"            $65,000 to $74,999","47,400","±4,039"
"            $75,000 or more","220,493","±9,995"